name,surname,gender,region,allegiance
Colin,Schulze,male,1,Tyrell
Lucy,Seidel,female,3,Martell
Emilia,Fischer,female,2,Martell
Phil,Baumann,male,3,Tyrell
Annabell,Martell,female,9,Martell
Marlene,Frank,female,1,Baratheon
Mattis,Lannister,male,6,Lannister
Jan,Lannister,male,8,Lannister
Jannis,Klein,male,2,Tyrell
Justus,Arnold,male,1,Bolton
Paul,Stark,male,9,Stark
Alina,Hahn,female,1,Greyjoy
Lian,Stark,male,7,Stark
Lennard,Frank,male,1,Lannister
Doreen,Targaryen,female,8,Targaryen
Jannik,Baratheon,male,6,Baratheon
Anni,Schreiber,female,3,Baratheon
Liam,Herrmann,male,1,Bolton
Merle,Stein,female,1,Greyjoy
Malte,Vogel,male,2,Martell
Leonard,Christ,male,3,Tyrell
Doreen,Lehmann,female,2,Martell
Mara,Frey,female,8,Frey
Lina,Lannister,female,9,Lannister
Tobias,Greyjoy,male,9,Greyjoy
Gunter,Tyrell,male,5,Tyrell
Jannis,Braun,male,3,Stark
Jannik,Christ,male,3,Lannister
Lea,Martell,female,5,Martell
Amelie,Werner,female,1,Greyjoy
Chiara,Kaiser,female,3,Baratheon
Annika,Arnold,female,3,Martell
Melissa,Schuster,female,2,Martell
Annabell,Martell,female,6,Martell
Luca,Fuchs,male,1,Bolton
Luna,Keller,female,2,Lannister
Till,Weber,male,3,Martell
Konstantin,Schultz,male,3,Martell
Selina,Braun,female,1,Greyjoy
Mika,Graf,male,2,Martell
Leni,Bolton,female,8,Bolton
Nina,Stark,female,8,Stark
Nick,Lannister,male,10,Lannister
Benedikt,Heinrich,male,1,Tyrell
Elisa,Tyrell,female,10,Tyrell
Joel,Heinrich,male,2,Stark
Martin,Voigt,male,2,Lannister
Anton,Lang,male,3,Frey
Ben,Schultz,male,2,Baratheon
Konstantin,Seidel,male,1,Bolton
Paul,Lannister,male,6,Martell
Pauline,Fuchs,female,3,Martell
Lena,Krämer,female,3,Frey
Theresa,Huber,female,1,Baratheon
Ulrike,Franke,female,3,Baratheon
Ole,Greyjoy,male,8,Targaryen
Lena,Greyjoy,female,9,Martell
Matteo,Tyrell,male,5,Tyrell
Sebastian,Lang,male,1,Stark
Nick,Peters,male,1,Lannister
Nora,Neumann,female,1,Baratheon
Robin,Ilsner,male,2,Targaryen
Maila,Voigt,female,3,Tyrell
Valentin,Vogt,male,1,Frey
Xenia,Bolton,female,9,Targaryen
Sophie,Tyrell,female,9,Tyrell
Mats,Stark,male,4,Stark
Toni,Krüger,male,1,Tyrell
Erik,Schwarz,male,2,Targaryen
Annabell,Stark,female,9,Stark
Aaron,Brandt,male,2,Arryn
Adrian,Tyrell,male,10,Tyrell
Yasha,Schmitz,male,1,Martell
Carlotta,Orlowski,female,2,Lannister
Greta,Thoma,female,1,Tyrell
Xenia,Bolton,female,9,Bolton
Kilian,Schmitz,male,3,Tyrell
Wenke,Kraus,female,3,Frey
Phil,Frey,male,6,Frey
Ingo,Frey,male,9,Frey
Josephine,Peters,female,3,Martell
Leonard,Tyrell,male,10,Tyrell
Samira,Ingerfurth,female,3,Targaryen
Melissa,Huber,female,2,Tyrell
Josephine,Dietrich,female,2,Tyrell
Ann-Julie,Scholz,female,1,Baratheon
Sarah,Roth,female,1,Bolton
Emma,Albrecht,female,2,Martell
Leonard,Lannister,male,9,Lannister
Jonathan,Martell,male,10,Martell
Sina,Sommer,female,2,Targaryen
Konstantin,Bergmann,male,2,Bolton
Leonie,Schreiber,female,3,Stark
Bastian,Müller,male,2,Baratheon
Moritz,Frey,male,7,Frey
Julia,Vogel,female,1,Stark
Julia,Stein,female,3,Lannister
Jamie,Schmitz,male,2,Greyjoy
Romy,Schulze,female,2,Baratheon
Noah,Weber,male,3,Greyjoy
Noel,Lannister,male,10,Lannister
Philipp,Kaiser,male,1,Tyrell
Josephine,Böhm,female,3,Lannister
Hannah,Greyjoy,female,5,Greyjoy
Jolina,Lannister,female,10,Lannister
Till,Lannister,male,9,Lannister
Henry,Becker,male,2,Lannister
Simon,Frey,male,6,Frey
Gabriel,Lehmann,male,1,Tyrell
David,Fuchs,male,2,Baratheon
Robert,Lorenz,male,1,Tyrell
Leon,Schuster,male,2,Bolton
Fiona,Beck,female,2,Lannister
Emily,Lorenz,female,1,Tyrell
Milan,König,male,1,Lannister
Ingo,Weiß,male,1,Greyjoy
Sina,Huber,female,1,Stark
Maxim,Lorenz,male,1,Stark
Leni,Weber,female,3,Tyrell
Luise,Martell,female,8,Martell
Melina,Baratheon,female,10,Baratheon
Elena,Lannister,female,9,Lannister
Florian,Koch,male,1,Arryn
Christian,Targaryen,male,9,Targaryen
Milan,Lehmann,male,2,Targaryen
Benedikt,Dietrich,male,1,Lannister
Simon,Braun,male,3,Greyjoy
Milan,Krämer,male,1,Martell
Ida,Möller,female,1,Stark
Luis,Martell,male,8,Baratheon
Nina,Groß,female,1,Targaryen
Pia,Müller,female,3,Tyrell
Mara,Heinrich,female,2,Greyjoy
Noah,Keller,male,2,Stark
Hannes,Haas,male,3,Bolton
Bastian,Thoma,male,1,Lannister
Nick,Bolton,male,7,Bolton
Konstantin,Möller,male,3,Lannister
Melissa,Simon,female,1,Stark
Antonia,Scholz,female,3,Lannister
Bennet,Huber,male,3,Arryn
Noah,Krämer,male,1,Lannister
Michael,Koch,male,2,Greyjoy
Levin,Baratheon,male,4,Baratheon
Paulina,Albrecht,female,1,Lannister
Lotta,Wolf,female,1,Martell
Maila,Klein,female,2,Targaryen
Fiona,Krämer,female,2,Arryn
Melissa,Simon,female,2,Baratheon
Bruno,Frey,male,10,Frey
Maxim,Targaryen,male,10,Targaryen
Antonia,Schuster,female,1,Martell
Mara,Frank,female,2,Martell
Merle,Lannister,female,9,Lannister
Finn,Weiß,male,2,Baratheon
Philipp,Fuchs,male,1,Baratheon
Dominic,Graf,male,2,Lannister
Selina,Graf,female,1,Stark
Elina,Lannister,female,10,Lannister
Gunter,Groß,male,3,Stark
Romy,Köhler,female,2,Lannister
Ronja,Huber,female,3,Tyrell
Johanna,Vogel,female,3,Martell
Emelie,Christ,female,1,Greyjoy
Valentin,Rams,male,2,Frey
Olivia,Schreiber,female,2,Frey
Vanessa,Döring,female,1,Tyrell
Mira,Schwarz,female,2,Lannister
Mara,Schuster,female,2,Tyrell
Bastian,Frey,male,8,Frey
Luca,Baratheon,male,10,Baratheon
Gunter,Huber,male,2,Bolton
Justus,Dietrich,male,2,Stark
Nina,Klein,female,3,Martell
Marlon,Hartmann,male,3,Martell
Lina,Stark,female,5,Stark
Jan,Lannister,male,5,Lannister
Franziska,Walter,female,1,Targaryen
Dieter,Otto,male,3,Stark
Ann-Julie,Kuhn,female,1,Martell
Timo,Wolf,male,3,Lannister
Isabell,Jäger,female,2,Targaryen
Anni,Arnold,female,3,Bolton
Mats,Martell,male,6,Martell
Daniel,Greyjoy,male,6,Greyjoy
Leo,Brandt,male,3,Frey
Adrian,Ullrich,male,1,Lannister
Olivia,Busch,female,3,Frey
Luna,Schubert,female,3,Arryn
Lennox,Horn,male,2,Baratheon
Paulina,König,female,2,Martell
Theresa,Busch,female,1,Martell
Vincent,Schuster,male,1,Martell
Frieda,Döring,female,1,Martell
Antonia,Orlowski,female,1,Lannister
Gunter,Albrecht,male,1,Stark
Yasha,Herrmann,male,2,Stark
Victoria,Stark,female,4,Stark
Sina,Kraus,female,3,Arryn
Nico,Schmitz,male,1,Lannister
Johann,Weber,male,2,Greyjoy
Bastian,Franke,male,1,Frey
Philipp,Engel,male,1,Greyjoy
Zoe,Pohl,female,3,Stark
Laura,Lannister,female,10,Lannister
Felix,Lannister,male,9,Lannister
Maximilian,Baratheon,male,6,Baratheon
Lea,Ziegler,female,3,Frey
Pia,Ullrich,female,3,Martell
Felix,Lannister,male,10,Lannister
Milan,Schneider,male,2,Greyjoy
Jonathan,Schröder,male,1,Martell
Bennet,Groß,male,1,Frey
Julian,Schulze,male,2,Martell
Lukas,Ilsner,male,2,Arryn
Nina,Schubert,female,3,Lannister
Xaver,Schumacher,male,3,Stark
Katharina,Bauer,female,1,Martell
Mia,Baratheon,female,9,Baratheon
Maximilian,Schultz,male,2,Stark
Martin,Orlowski,male,2,Tyrell
Johann,Thoma,male,1,Bolton
Valentina,Greyjoy,female,7,Greyjoy
Maja,Lannister,female,7,Bolton
Ann-Julie,Hahn,female,2,Martell
Leni,Frey,female,4,Frey
Maria,Frank,female,3,Lannister
Emelie,Franke,female,2,Targaryen
Yasha,Stark,male,7,Stark
Marlon,Arnold,male,2,Lannister
Hannes,Rams,male,3,Stark
Elina,Engel,female,1,Martell
Florian,Vogel,male,2,Lannister
Alina,Schneider,female,1,Stark
Lennox,Lannister,male,5,Stark
Lena,Greyjoy,female,10,Greyjoy
Jannis,Greyjoy,male,9,Greyjoy
Christian,Bauer,male,3,Lannister
Thomas,Thiele,male,1,Tyrell
Carlotta,Bergmann,female,2,Tyrell
Sofia,Ullrich,female,2,Tyrell
Fabienne,Döring,female,2,Tyrell
Mara,Lannister,female,9,Lannister
Noel,Groß,male,1,Lannister
Ann-Julie,Schröder,female,3,Arryn
Malte,Bauer,male,1,Lannister
Melissa,Martell,female,8,Stark
Sebastian,Lannister,male,5,Lannister
Celina,Wolf,female,1,Lannister
Maria,Schumacher,female,2,Greyjoy
John,Stark,male,8,Stark
Bastian,Franke,male,3,Baratheon
Ben,Bolton,male,8,Bolton
Victoria,Arnold,female,3,Tyrell
Simon,Tyrell,male,7,Tyrell
Julian,Baratheon,male,6,Baratheon
Sam,Lang,male,1,Targaryen
Kilian,Schmitt,male,1,Lannister
Lennox,Friedrichs,male,3,Baratheon
Jolina,Conrad,female,3,Baratheon
Leila,Teichmann,female,3,Greyjoy
Phil,Huber,male,2,Tyrell
Lea,Hoffmann,female,1,Lannister
Jolina,Teichmann,female,3,Martell
Philipp,Bauer,male,3,Greyjoy
Damian,Hartmann,male,2,Greyjoy
Milan,Sommer,male,2,Baratheon
Xenia,Voigt,female,3,Baratheon
Daniel,Beck,male,2,Baratheon
Helene,Günther,female,1,Baratheon
Maila,Frey,female,8,Frey
Levin,Richter,male,1,Tyrell
Kilian,Stark,male,8,Stark
Leon,Baratheon,male,8,Baratheon
Mattis,Bergmann,male,2,Martell
Celina,Berger,female,2,Stark
Alina,Pfeiffer,female,1,Martell
Alina,Koch,female,2,Lannister
Sina,Conrad,female,2,Stark
Xaver,Jung,male,2,Martell
Melina,Thoma,female,1,Stark
Ida,Albrecht,female,3,Tyrell
Lotta,Groß,female,1,Greyjoy
Pia,Dietrich,female,2,Lannister
Carlotta,Martell,female,10,Martell
Martha,Baumann,female,1,Frey
Levin,Schuster,male,2,Targaryen
Damian,Fischer,male,3,Martell
Elena,Tyrell,female,10,Tyrell
Erik,Greyjoy,male,8,Greyjoy
Vincent,Schneider,male,3,Lannister
Pia,Herrmann,female,1,Martell
Mira,Schneider,female,2,Tyrell
Chiara,Tyrell,female,6,Tyrell
Toni,Vogt,male,2,Lannister
Zoe,Targaryen,female,8,Stark
Wolfgang,Arnold,male,1,Stark
Laura,Winter,female,1,Targaryen
Xenia,Lannister,female,6,Lannister
Moritz,Fischer,male,2,Lannister
Stella,Wagner,female,3,Arryn
Julie,Franke,female,3,Martell
Paul,Bauer,male,1,Lannister
Christian,Tyrell,male,4,Tyrell
Jannik,Vogt,male,3,Lannister
Luisa,Bolton,female,5,Bolton
Mina,Lannister,female,8,Stark
Tim,Greyjoy,male,6,Greyjoy
Lotta,Martin,female,2,Greyjoy
Finn,Simon,male,2,Frey
Milena,Schultz,female,1,Lannister
Elena,Schröder,female,2,Frey
Julie,Lannister,female,9,Lannister
Jamie,Braun,male,2,Lannister
Amelie,Targaryen,female,8,Targaryen
Wolfgang,Horn,male,3,Lannister
Gabriel,Haas,male,2,Lannister
Valentin,Voigt,male,3,Tyrell
Felix,Weiß,male,3,Bolton
Samira,Pohl,female,1,Stark
Merle,Fuchs,female,1,Lannister
Wolfgang,Lehmann,male,3,Stark
Hannes,Frey,male,8,Targaryen
Wolfgang,Orlowski,male,2,Arryn
Elisa,Thoma,female,1,Frey
Levi,Baratheon,male,8,Baratheon
Julia,Huber,female,2,Baratheon
Moritz,Sommer,male,1,Lannister
Mara,Maier,female,1,Baratheon
Finn,Schröder,male,3,Frey
Lian,Simon,male,1,Tyrell
Lilly,Böhm,female,2,Tyrell
Lucy,Lorenz,female,2,Greyjoy
Anni,Hoffmann,female,3,Martell
Annika,Baratheon,female,8,Baratheon
Aaron,Arryn,male,7,Arryn
Felix,Köhler,male,1,Martell
Oliver,Winter,male,1,Lannister
Julia,Werner,female,2,Lannister
Isabell,Tyrell,female,10,Tyrell
Marie,Busch,female,2,Frey
Daniel,Weiß,male,3,Lannister
Finn,Wagner,male,3,Lannister
Mira,Sommer,female,3,Tyrell
Jonathan,Herrmann,male,2,Tyrell
Ole,Tyrell,male,10,Tyrell
Lena,Sommer,female,2,Frey
Noel,Winkler,male,1,Targaryen
Florian,Martell,male,8,Martell
Sophie,Ludwig,female,1,Lannister
Frieda,Kraus,female,1,Tyrell
Helene,Döring,female,2,Lannister
Doreen,Bolton,female,10,Bolton
Lea,Franke,female,1,Tyrell
Elena,Martell,female,5,Martell
Mina,Kuhn,female,2,Stark
Emil,Haas,male,2,Lannister
Elena,Huber,female,3,Stark
Noah,Scholz,male,1,Frey
Bianca,Neumann,female,2,Baratheon
Leonie,Maier,female,1,Tyrell
Paula,Schmitt,female,1,Bolton
Lotta,Walter,female,2,Lannister
Emil,Frey,male,9,Frey
Charlotte,Schulte,female,2,Bolton
Jolina,Beck,female,2,Targaryen
Florian,Schneider,male,1,Tyrell
Oskar,Winter,male,2,Stark
Leonard,Hoffmann,male,1,Baratheon
Finn,Tyrell,male,7,Tyrell
Yasha,Lannister,male,8,Lannister
Emilia,Busch,female,1,Stark
Michael,Stark,male,7,Stark
Jayden,Busch,male,1,Bolton
Ole,Möller,male,3,Martell
Yasha,Stark,male,7,Stark
Milena,Schuster,female,3,Baratheon
Bennet,Martell,male,5,Targaryen
Zoe,Ingerfurth,female,2,Frey
Leonard,Frey,male,10,Frey
Max,Lannister,male,8,Lannister
Katharina,Schmitt,female,1,Targaryen
Elisabeth,Zimmermann,female,1,Lannister
Bennet,Stark,male,5,Stark
Leni,Zimmermann,female,1,Stark
Lara,Kühn,female,2,Lannister
Tobias,Hahn,male,2,Lannister
Elisa,Schulte,female,1,Lannister
Mattis,Stein,male,1,Martell
Paulina,Neumann,female,2,Martell
Timo,Frey,male,5,Frey
Aylin,Christ,female,1,Martell
Jasmin,Fuchs,female,1,Lannister
Samira,Martell,female,5,Martell
Alexander,Lannister,male,10,Lannister
Rafael,Baumann,male,3,Frey
Ida,Frey,female,4,Frey
Max,Schwarz,male,2,Stark
Jana,Franke,female,3,Martell
Toni,Möller,male,3,Martell
Paulina,Schröder,female,3,Stark
Liam,Krämer,male,1,Lannister
Martha,Stark,female,4,Stark
Philipp,Kaiser,male,2,Frey
Isabell,Orlowski,female,3,Stark
Gabriel,Simon,male,2,Martell
Wolfgang,Baumann,male,3,Lannister
Carlotta,Frey,female,9,Martell
Emil,Stark,male,6,Stark
Magdalena,König,female,2,Greyjoy
Felix,Stein,male,3,Bolton
Benjamin,Groß,male,3,Greyjoy
David,Horn,male,2,Frey
Martha,Otto,female,3,Targaryen
Ole,Seidel,male,2,Targaryen
Erik,Ilsner,male,1,Martell
Maria,Scholz,female,2,Arryn
Gunter,Hahn,male,2,Lannister
Alina,Stark,female,8,Stark
Felix,Conrad,male,3,Tyrell
Bianca,Nebert,female,3,Baratheon
Benjamin,Ilsner,male,3,Tyrell
Nele,Arryn,female,9,Arryn
Mira,Dietrich,female,2,Lannister
Jana,Schubert,female,3,Greyjoy
Maja,Lange,female,2,Baratheon
Julie,Baratheon,female,6,Martell
Marlene,Lannister,female,10,Lannister
Mats,Groß,male,2,Bolton
Emelie,Christ,female,1,Tyrell
Paula,Christ,female,3,Tyrell
Leo,Groß,male,3,Lannister
Bianca,Lannister,female,8,Lannister
Luisa,Baumann,female,1,Stark
Dominic,Werner,male,1,Targaryen
Nina,Tyrell,female,10,Tyrell
Alexander,Ebert,male,2,Frey
Malte,Tyrell,male,9,Tyrell
Wolfgang,Richter,male,3,Tyrell
Elena,Ilsner,female,1,Tyrell
Josephine,Keller,female,3,Baratheon
Jakob,Frey,male,10,Frey
Ulrike,Martell,female,4,Martell
Lennard,Groß,male,1,Lannister
Merle,Werner,female,2,Lannister
Robert,Kühn,male,3,Lannister
Justus,Stark,male,8,Stark
Fiona,Maier,female,3,Lannister
Ingo,Schulze,male,2,Lannister
Luis,Baratheon,male,7,Baratheon
Romy,Lannister,female,8,Lannister
Emma,Fischer,female,1,Baratheon
Pauline,Lehmann,female,3,Frey
Ida,Weiß,female,3,Stark
Antonia,Kaiser,female,2,Bolton
Josephine,Werner,female,3,Martell
Michael,Tyrell,male,9,Tyrell
Chiara,Ullrich,female,2,Tyrell
Helene,Heinrich,female,3,Frey
Milena,Horn,female,1,Tyrell
Lina,Seidel,female,1,Tyrell
Jayden,Frey,male,8,Frey
Nils,Arnold,male,2,Stark
Tim,Greyjoy,male,8,Greyjoy
Colin,Greyjoy,male,5,Greyjoy
Robin,Stark,male,5,Stark
Michael,Ebert,male,1,Stark
Elina,Vogt,female,2,Bolton
Elisa,Lannister,female,9,Lannister
Samira,Christ,female,3,Frey
Martha,Becker,female,2,Frey
Yasha,Bolton,male,10,Greyjoy
Joshua,Thoma,male,3,Stark
Xenia,Engel,female,1,Greyjoy
Anna,Stark,female,5,Stark
Thomas,Lannister,male,10,Lannister
Olivia,Braun,female,2,Lannister
Paula,Sauer,female,3,Martell
Eva,Schulze,female,1,Martell
Laura,Kraus,female,2,Targaryen
Martin,Bergmann,male,3,Stark
Luca,Lannister,male,9,Lannister
Jason,Döring,male,1,Stark
Carlotta,Lannister,female,9,Lannister
Romy,Pohl,female,1,Bolton
Annika,Becker,female,2,Baratheon
Antonia,Pfeiffer,female,1,Stark
Sofia,Krämer,female,1,Lannister
Maria,Richter,female,1,Stark
Theresa,Stark,female,6,Stark
Laura,Conrad,female,2,Frey
Artur,Möller,male,3,Baratheon
Konstantin,Pohl,male,3,Lannister
Elena,Busch,female,3,Lannister
Mina,Tyrell,female,8,Tyrell
Felix,Bergmann,male,3,Martell
Magdalena,Weiß,female,3,Martell
Joshua,Busch,male,1,Lannister
Tom,Martell,male,6,Martell
Tobias,Schubert,male,1,Frey
Xaver,Schneider,male,3,Baratheon
Marlene,Vogt,female,3,Martell
Konstantin,Werner,male,2,Frey
Christian,Keller,male,3,Martell
Sina,Krause,female,2,Baratheon
Jana,Frey,female,9,Frey
Sarah,Weber,female,1,Baratheon
Marlon,Greyjoy,male,9,Greyjoy
Wolfgang,Fischer,male,3,Frey
Sam,Conrad,male,1,Martell
Konstantin,Stark,male,7,Stark
Mathilda,Albrecht,female,3,Martell
Isabell,Möller,female,1,Stark
Jan,Lange,male,1,Tyrell
Mats,Schumacher,male,3,Martell
Milan,Lannister,male,9,Baratheon
Yvonne,Lorenz,female,2,Lannister
Benedikt,Stark,male,6,Stark
Sebastian,Jäger,male,3,Lannister
Noah,Meyer,male,1,Greyjoy
Jasmin,Martin,female,1,Tyrell
Fiona,Frank,female,2,Lannister
Chiara,Schubert,female,1,Lannister
Bianca,Winter,female,1,Martell
Isabell,Krause,female,2,Frey
Emily,Pfeiffer,female,3,Greyjoy
Marlene,Martell,female,6,Martell
Justus,Zimmermann,male,1,Bolton
Ulrich,Frey,male,5,Frey
Malte,Braun,male,1,Greyjoy
Sina,Graf,female,1,Targaryen
Joel,Martell,male,8,Martell
Zoe,Müller,female,1,Greyjoy
Annika,Winter,female,2,Lannister
Benjamin,Vogel,male,3,Targaryen
Katharina,Weiß,female,1,Frey
Joel,Lannister,male,9,Lannister
Leonie,Fuchs,female,2,Greyjoy
Mara,Schultz,female,2,Tyrell
Robin,Greyjoy,male,4,Greyjoy
Jona,Nebert,male,2,Bolton
Ole,Vogel,male,2,Baratheon
Jamie,Schwarz,male,3,Martell
Xenia,Walter,female,2,Bolton
Hannah,Bergmann,female,3,Lannister
Franziska,Greyjoy,female,10,Greyjoy
Josephine,Arryn,female,8,Arryn
Till,Targaryen,male,9,Targaryen
Artur,Weiß,male,3,Martell
Antonia,Hahn,female,3,Stark
Noah,Lannister,male,9,Lannister
Liam,Voigt,male,1,Tyrell
Tom,Kuhn,male,3,Baratheon
Ole,Lannister,male,8,Lannister
Damian,Horn,male,2,Martell
Elias,Roth,male,2,Lannister
Mara,Baratheon,female,4,Baratheon
Robert,Braun,male,3,Stark
David,Maier,male,3,Baratheon
Adrian,Graf,male,3,Tyrell
Isabella,Stark,female,5,Stark
Vincent,Ziegler,male,1,Baratheon
Lina,Vogt,female,2,Martell
Konstantin,Kühn,male,1,Martell
Mila,Neumann,female,2,Greyjoy
Leo,König,male,1,Tyrell
Emelie,Lannister,female,7,Lannister
Leonard,Christ,male,3,Martell
Robin,Lannister,male,10,Lannister
Karl,Frey,male,8,Frey
Phil,Günther,male,2,Martell
Benjamin,Baratheon,male,4,Baratheon
Valentin,Döring,male,2,Baratheon
Mattis,Nebert,male,2,Baratheon
Erik,Maier,male,2,Bolton
Theo,Engel,male,2,Tyrell
Oliver,Horn,male,1,Lannister
Joshua,Tyrell,male,10,Tyrell
Elias,Thiele,male,3,Tyrell
Oliver,Vogt,male,2,Lannister
Sam,Simon,male,2,Greyjoy
Fabian,Orlowski,male,2,Tyrell
Annika,König,female,2,Lannister
Sina,Orlowski,female,2,Stark
Felix,Roth,male,3,Lannister
Theo,Tyrell,male,10,Tyrell
Malte,Roth,male,1,Bolton
Mathilda,Lannister,female,8,Lannister
Lennard,Schröder,male,3,Martell
Simon,Sauer,male,3,Tyrell
Hannah,Baratheon,female,5,Baratheon
Toni,Schwarz,male,1,Stark
Katharina,Dietrich,female,3,Frey
Samuel,Krause,male,1,Greyjoy
Carlotta,Schmitt,female,2,Frey
Lian,Wolf,male,2,Frey
Timo,Neumann,male,2,Lannister
Elisa,Bolton,female,4,Stark
Maria,Ingerfurth,female,2,Lannister
Maria,Baratheon,female,10,Baratheon
Jason,Martell,male,7,Stark
Jonas,Neumann,male,2,Greyjoy
Nick,Franke,male,1,Martell
Pauline,Rams,female,1,Lannister
Mila,Tyrell,female,10,Tyrell
Lea,Zimmermann,female,2,Greyjoy
Annika,Böhm,female,1,Lannister
Ulrike,Meyer,female,2,Baratheon
Melissa,Maier,female,2,Tyrell
Luna,Tyrell,female,10,Tyrell
Doreen,Ullrich,female,2,Stark
Jonathan,Schmitz,male,1,Targaryen
Justus,Schulte,male,2,Martell
Anton,Winkler,male,1,Lannister
Phil,Bolton,male,4,Bolton
Chiara,König,female,1,Baratheon
Joel,Richter,male,1,Martell
Oliver,Targaryen,male,9,Targaryen
Vanessa,Wolf,female,2,Martell
Fabienne,Martin,female,1,Frey
Linda,Lang,female,1,Lannister
Stella,Böhm,female,3,Greyjoy
Sina,Teichmann,female,2,Baratheon
