killerID,killerName,killerSurname,victimID,victimName,victimSurname
0854,Milota,Sidlo,4850,Ido de,Greyjoy
4768,Noortje,Sanders,4955,Emma van,Veen
2556,Kacper,Kaczmarek,0410,Xenia,Lannister
2556,Kacper,Kaczmarek,1074,Edmond,Vacaroiu
3360,Juha,Aalto,2680,Bartek,Targaryen
1444,Dumitra,Seciu,2623,Elzbieta,Lannister
1800,Romane,Brun,0111,Daniel,Schroder
0093,Elisabeth,Christ,4554,Suzanne van,Tyrell
2972,Sylwester,Greyjoy,4530,Gerard,Lannister
3479,Hannele,Tyrell,2476,Monica,Sartori
0902,Beata,Richtar,2538,Eugeniusz,Michalak
3734,Elsa,Liljegren,2238,Giacomo,Messina
1814,Mathis,Henry,0571,Lubor,Stefan
0773,Ales,Dzurjanin,4206,Artjom,Rebane
3189,Jyri,Koskinen,0263,Tobias,Lannister
3354,Jaakko,Heikkinen,2404,Giorgia,Barone
1886,Arthur,Mallet,3097,Katja,Heikkinen
1129,Octavian,Corbea,4023,Kirill,Mitt
4156,Mari,Kalda,3129,Taneli,Westerlund
2195,Alice,Vitali,1253,Maria,Targaryen
4924,Renske,Vos,4223,Kristiina,Kull
0775,Andrea,Lannister,0253,Leonie,Dietrich
0199,Jonathan,Muller,2991,Grazyna,Szewczyk
3026,Juhani,Makela,0612,Ambroz,Tyrell
1623,Clara,Baratheon,4997,Valentijn,Peters
1623,Clara,Baratheon,0448,Noah,Greyjoy
1623,Clara,Baratheon,3760,Vendela,Blomberg
1623,Clara,Baratheon,3389,Paivi,Baratheon
1623,Clara,Baratheon,4192,Maksim,Paju
3710,Carl,Lundin,1510,Eloise,Lannister
0021,Ella,Tyrell,2640,Grazyna,Szymczak
3136,Mikael,Siniranta,2886,Stefan,Adamczyk
4460,Hanna,Orav,1316,Floriana,Vacaroiu
0639,Denisa,Petruska,3511,Elvira,Martell
1072,Denisa,Morar,2170,Lorenzo,Targaryen
4804,Bart van den,Broek,3293,Kaarina,Vaananen
4804,Bart van den,Broek,0824,Demeter,Vicena
0857,Ondrej,Martell,2806,Weronika,Zajac
1251,Emanuel,Stark,3003,Lasse,Lannister
1251,Emanuel,Stark,0583,Dagmara,Martin
1251,Emanuel,Stark,1187,Tatiana,Martell
1251,Emanuel,Stark,0484,Nora,Voigt
3361,Veijo,Toivonen,0818,Bohus,Janik
0033,Hannah,Schmitt,0929,Rudolf,Konrad
0362,Colin,Braun,2706,Helena,Krawczyk
0930,Radoslav,Pavka,4482,Anna,Sokolov
1364,Pavel,Racoveanu,4816,Olaf,Scholten
3688,Maja,Wisell,2287,Nicolo,Stark
1932,Diego,Renault,4473,Anastasia,Greyjoy
4942,Willemijn,Gerritsen,3477,Eero,Jarvinen
4942,Willemijn,Gerritsen,1221,Aristide,Cornea
1649,Louis,Lannister,2807,Nina,Kazmierczak
1649,Louis,Lannister,2736,Zenobia,Pawlak
1649,Louis,Lannister,0137,Paulina,Richter
1649,Louis,Lannister,3565,Stina,Ahlgren
4737,Daan,Veenstra,2265,Nicola,Montanari
4737,Daan,Veenstra,0067,Gunter,Pfeiffer
2834,Martyna,Lis,4855,Paul,Maas
4010,Emma,Karu,1380,Janina,Runceanu
0069,Magdalena,Tyrell,0647,Cyprian,Martell
1441,Maximilian,Fratila,4255,Jaak,Greyjoy
0783,Paulina,Tyrell,0415,Johann,Herrmann
3609,Erik,Wahlgren,0352,Adrian,Walter
3914,Hannes,Wigren,1362,Victor,Pascanu
1644,Guillaume,Tyrell,1070,Elodia,Draghici
1644,Guillaume,Tyrell,0659,Roland,Valenta
1644,Guillaume,Tyrell,4190,Aleksandra,Jurgenson
1644,Guillaume,Tyrell,0371,Anni,Targaryen
3601,Kajsa,Ohlin,4138,Ott,Sokolov
3086,Juhani,Seppala,2319,Erica,Negri
4797,Yasmijn van der,Meulen,0688,Edmund,Marko
3914,Hannes,Wigren,0325,Luisa,Werner
2588,Wiktoria,Baratheon,3175,Eero,Lannister
1279,Iulian,Padurariu,4374,Mark,Pavlov
0982,Ursula,Kozacik,0793,Dobroslav,Barbora
0644,Zlatko,Andrasik,2090,Riccardo,Baratheon
4905,Veerle van der,Velden,2457,Vanessa,Bianchi
3420,Raila,Martell,2114,Nicola,Frey
3420,Raila,Martell,0228,Max,Rams
3420,Raila,Martell,1116,Ioan,Dolgan
3420,Raila,Martell,0927,Maximilian,Rakovan
3420,Raila,Martell,4600,Kees,Koster
1793,Mathieu,Tyrell,1539,Kylian,Perret
2577,Konrad,Janik,3826,Gustav,Tyrell
4904,Tom,Tyrell,3418,Vaino,Siniranta
4904,Tom,Tyrell,2771,Karol,Koziol
2028,Giorgia,Benedetti,4141,Anna,Teder
3126,Teo,Martell,2255,Claudio,Vitali
3126,Teo,Martell,2303,Valeria,Galli
1528,Timeo,Lannister,3828,Anna,Isakson
4964,Camiel,Bakker,2569,Filip,Walczak
2779,Gustaw,Kolodziej,1614,Maryam,Martin
1576,Pauline,Blanc,0447,Leila,Lannister
3774,Elvira,Blomberg,2006,Arianna,Stark
4687,Emiel van den,Berg,4851,Aad van,Frey
3682,Ella,Liljegren,0407,Leo,Konig
0174,Mira,Wagner,2906,Roch,Targaryen
2335,Davide,Fiore,2097,Irene,Martino
3542,Joel,Bergman,1290,Elisabeta,Lepadatu
2920,Barbara,Wieczorek,0439,Julius,Jager
4097,Linda,Orav,4732,Eline de,Tyrell
2709,Joanna,Bolton,1175,Gina,Danciu
3501,Maja,Ohlin,0918,Milos,Valuska
4789,Camiel,Hoekstra,4103,Sofia,Popov
1816,Charlotte,Boucher,1164,Celia,Lipatti
0570,Ema,Baratheon,2300,Manuel,Gallo
0570,Ema,Baratheon,0237,Julia,Schultz
0570,Ema,Baratheon,0871,Tibor,Valachovic
0570,Ema,Baratheon,3745,Ronja,Martell
0570,Ema,Baratheon,0477,Mila,Martell
0570,Ema,Baratheon,2649,Ryszard,Wojcik
3536,Elvira,Greyjoy,2193,Luca,Vitale
3536,Elvira,Greyjoy,3341,Mikael,Martell
0748,Sara,Klizan,1196,Vasilica,Bodiul
0982,Ursula,Kozacik,2060,Serena,Mariani
1719,Adrien,Baratheon,3928,Kajsa,Lundin
1719,Adrien,Baratheon,0401,Timo,Weiss
1719,Adrien,Baratheon,2054,Debora,Bolton
1719,Adrien,Baratheon,3209,Tapani,Miettinen
0028,Leonie,Schmitt,1279,Iulian,Padurariu
4964,Camiel,Bakker,1839,Desiree,Vincent
4913,Emiel de,Graaf,3753,Selma,Kjellberg
0422,Lea,Tyrell,3166,Simo,Aalto
3909,Johanna,Johansson,4236,Karl,Lebedev
0858,Demeter,Tyrell,0130,Robert,Schubert
0858,Demeter,Tyrell,1917,Tom,Leblanc
0858,Demeter,Tyrell,4680,Femke de,Leeuw
2863,Rudolf,Zajac,1595,Nina,Durand
0847,Karina,Frey,4288,Marili,Tomson
3897,Linnea,Carlstedt,3716,Vendela,Carlstedt
3286,Vaino,Frey,1991,Maceo,Jacquet
4119,Daniil,Martell,0885,Lucia,Bruska
4119,Daniil,Martell,4948,Lars de,Baratheon
4119,Daniil,Martell,1628,Maxence,Boulanger
0102,Marlene,Schmidt,3413,Tapio,Hamalainen
0734,Maros,Baso,1754,Lorenzo,Lucas
1479,Giorgiana,Danciu,0572,Izabela,Hrdlicka
1479,Giorgiana,Danciu,2326,Roberto,Romano
1117,Petrut,Velescu,2491,Alberto,Bianchi
1322,Ozana,Lannister,3882,Tilda,Baratheon
3355,Ismo,Jokinen,0459,Mara,Dietrich
3814,Carl,Ohlin,2346,Alberto,Palmieri
3379,Pirkko,Bolton,3845,Fredrik,Tyrell
3420,Raila,Martell,2209,Giorgio,Donati
1656,Antoine,Gay,3660,Kalle,Wisell
0852,Klaudia,Skriniar,3318,Leena,Lannister
3257,Ossi,Bolton,0095,Matteo,Tyrell
3382,Hannele,Vatanen,4420,Robin,Nikitin
3022,Johanna,Arryn,0346,Fiona,Pohl
2739,Wojciech,Mazur,1409,Bianca,Cimpoesu
3358,Matti,Kosunen,3189,Jyri,Koskinen
0216,Konstantin,Jager,1801,Gilbert,Tyrell
0765,Kamila,Michalik,1236,Mona,Stanculescu
4859,Paulien,Smit,2159,Marco,Greco
3300,Virpi,Miettinen,0464,Johannes,Jager
2133,Giuseppe,Lombardo,1096,Viviana,Martell
0047,Lina,Roth,2009,Claudio,Costantino
0605,Elena,Andras,2225,Alessandra,Basile
2136,Riccardo,Salvi,4702,Pieter,Wolters
2272,Alberto,Marchetti,3551,Emanuel,Nordin
3575,Kalle,Ohlin,2564,Michal,Kazmierczak
2027,Cristina,Gatti,2399,Giacomo,Ferraro
4643,Arjan,Wolters,2822,Janusz,Duda
4643,Arjan,Wolters,2234,Alice,Tyrell
1229,Raducu,Buia,3833,Selma,Lundin
4648,Christien van de,Velde,4741,Yasmijn de,Bruin
4519,Teun van,Beek,0898,Cecilia,Dvonc
3364,Hannele,Seppala,2778,Gabriel,Bak
2927,Monika,Wojcik,1550,Juliette,Lambert
4659,Aad,Kuiper,1013,Arina,Brediceanu
4659,Aad,Kuiper,1949,Dylan,Pichon
1810,Clement,Stark,1349,Adela,Paslaru
1810,Clement,Stark,2373,Nicola,Greyjoy
1810,Clement,Stark,1838,Clement,Maillard
1810,Clement,Stark,3027,Annikki,Jokinen
1810,Clement,Stark,4531,Vincent van der,Heijden
1810,Clement,Stark,3292,Kalevi,Mottola
1810,Clement,Stark,4566,Florus,Lannister
2506,Wiktoria,Pietrzak,0552,Henrieta,Mlynarik
4118,Lisandra,Stark,2146,Mattia,Conte
2895,Weronika,Mazurek,0317,Mira,Scholz
3222,Eero,Makela,0788,Anna,Stastny
0554,Barbora,Martell,4547,Mathijs,Targaryen
2063,Valeria,Arryn,3018,Arttu,Jarvinen
2063,Valeria,Arryn,1182,Severin,Sechelariu
0518,Ida,Rak,0666,Bohumil,Kozak
0964,Tatiana,Marecek,0160,Nora,Martell
0033,Hannah,Schmitt,2292,Martina,Palazzo
0900,Alzbeta,Husar,1264,Irina,Gruia
0900,Alzbeta,Husar,2811,Krystyna,Kania
3284,Pirkko,Greyjoy,4452,Linda,Greyjoy
3685,Anton,Tyrell,2502,Sebastian,Targaryen
1891,Valentine,Leroux,3336,Ulla,Lannister
1908,Bastien,Bolton,2825,Igor,Mazurek
4053,Kristiina,Stark,0243,Jakob,Schmitz
2031,Erika,Baratheon,0892,Klement,Valusek
2031,Erika,Baratheon,4425,Madis,Kuusk
3043,Olavi,Tyrell,4433,Sander,Kallas
2728,Dorota,Koziol,2767,Dominik,Szczepaniak
2307,Salvatore,Baratheon,4458,Marleen,Vinogradov
2307,Salvatore,Baratheon,4746,Yasmijn van der,Laan
2307,Salvatore,Baratheon,3994,Klara,Ekman
1989,Clara,Frey,0360,Nils,Voigt
3195,Jussi,Toivonen,0928,Dana,Vlach
0115,Lukas,Neumann,2123,Beatrice,Ferri
0134,Maila,Moller,3092,Aino,Toivonen
0146,Theo,Weiss,1826,Elouan,Bertin
1668,Matteo,Lefebvre,2213,Edoardo,Barone
2966,Roma,Tyrell,4757,Rik,Baratheon
3587,Henrik,Wigren,4006,Marta,Lannister
4618,Eline van der,Meer,2883,Mikolaj,Tyrell
4974,Hendrika van,Veen,4843,Wies,Kramer
0578,Eugenia,Greyjoy,1378,Olimpiu,Tyrell
1542,Jeremy,Denis,2461,Eleonora,Gatti
4200,Linda,Ivanov,3113,Pekka,Martell
4621,Wies,Greyjoy,2941,Gabriela,Duda
2706,Helena,Krawczyk,4779,Emma van der,Velden
2439,Elisa,Caruso,4512,Roos,Prins
1967,Timeo,Gay,3974,Jesper,Lundin
0074,Celina,Koch,4958,Wim van de,Velde
4009,Joosep,Molder,4285,Marten,Nikolaev
3191,Jaakko,Virtanen,2411,Fabio,Greyjoy
2887,Makary,Baran,1600,Noe,Frey
0490,Toni,Krause,0680,Ruzena,Skriniar
1218,Iacob,Bolton,0026,Finn,Stein
1218,Iacob,Bolton,3164,Tuomas,Lannister
1541,Corentin,Greyjoy,0198,Marie,Schwarz
2873,Roch,Mazurek,4016,Hugo,Jakobson
1754,Lorenzo,Lucas,1356,Haralambie,Gutu
3633,Joel,Wiberg,2935,Amelia,Lannister
3633,Joel,Wiberg,0229,Jan,Schumacher
1994,Yanis,Aubry,0907,Adela,Simek
0014,Jannis,Doring,4620,Lisa de,Groot
0014,Jannis,Doring,1699,Marine,Lefevre
4938,Laurens,Meijer,3099,Outi,Kivela
4938,Laurens,Meijer,1047,Laurentia,Paunescu
2537,Adela,Marciniak,2589,Iwona,Sobczak
3995,Henrik,Carlstedt,2144,Alberto,Ruggiero
1440,Alice,Papahagi,1298,Frusina,Frosin
4160,Jaanika,Baratheon,0663,Ela,Dudok
4160,Jaanika,Baratheon,1108,Vlaicu,Pogor
3135,Katja,Jarvinen,0021,Ella,Tyrell
1764,Clement,Perrot,0046,Johannes,Schuster
4742,Rik van,Lannister,1461,Noemi,Mailat
2152,Elisa,Lannister,4204,Marili,Vaher
2152,Elisa,Lannister,3844,Edvin,Zetterberg
2152,Elisa,Lannister,0312,Nick,Walter
2152,Elisa,Lannister,3536,Elvira,Greyjoy
2145,Luca,Santoro,4306,Rain,Lepp
1242,Sonia,Burileanu,3307,Tapani,Heikkinen
1067,Evelina,Russo,3718,Edvin,Kjellberg
4170,Ingrid,Baratheon,4548,Evert,Lannister
4170,Ingrid,Baratheon,2453,Simone,Frey
4170,Ingrid,Baratheon,4228,Kristiina,Jarv
1895,Emma,Leveque,1683,Leonie,Tyrell
1706,Mehdi,Cousin,3103,Anneli,Baratheon
2491,Alberto,Bianchi,0869,Henrieta,Dula
4958,Wim van de,Velde,2155,Michele,Villa
2109,Caterina,Rossi,0444,Luisa,Thoma
3284,Pirkko,Greyjoy,0840,Denis,Vajda
1453,Marius,Ivanceanu,0903,Cyril,Hrdlicka
1453,Marius,Ivanceanu,1893,Lauriane,Lemoine
4841,Sara van den,Berg,0086,Anna,Engel
3478,Paivi,Westerlund,4623,Jasmijn,Tyrell
0261,Mia,Otto,3046,Jyri,Virtanen
0261,Mia,Otto,1998,Florentin,Lecomte
1125,Petronela,Baghiu,0518,Ida,Rak
4063,Markus,Lohmus,4957,Imke van,Dam
1858,Lana,Greyjoy,3691,Elin,Lannister
0558,Tadeas,Majesky,3819,Stina,Bagge
1513,Lorenzo,Dupont,1876,Constant,Muller
3841,Wilma,Skog,0386,Mira,Stein
0400,Gunter,Greyjoy,2356,Davide,Morelli
0400,Gunter,Greyjoy,1969,Anaelle,Garcia
0400,Gunter,Greyjoy,4797,Yasmijn van der,Meulen
0400,Gunter,Greyjoy,1425,Aurica,Leca
1643,Julie,Greyjoy,0855,Blanka,Jancek
4260,Sandra,Semenov,3410,Taneli,Tyrell
3977,Edvin,Hallgren,2336,Veronica,Giuliani
2616,Leszek,Nowak,1934,Chloe,Petit
1209,Amalia,Caramitru,2678,Maksymilian,Kaczmarek
1978,Chloe,Sanchez,3837,Kalle,Zetterberg
1978,Chloe,Sanchez,1677,Elsa,Bourgeois
3141,Leena,Stark,3946,Victoria,Ohlin
3141,Leena,Stark,3205,Leena,Frey
3141,Leena,Stark,2423,Debora,Bruno
3141,Leena,Stark,1295,Laurentia,Baratheon
3141,Leena,Stark,0506,Marina,Hrobon
3141,Leena,Stark,3133,Tapio,Kosunen
3141,Leena,Stark,2082,Nicolo,Giordano
3141,Leena,Stark,1179,Florian,Martell
3141,Leena,Stark,1443,Fiona,Tyrell
4111,Liisa,Lannister,3573,Joakim,Wisell
1452,Loredana,Stark,0361,Marie,Lannister
1452,Loredana,Stark,3799,Linnea,Skog
1452,Loredana,Stark,1153,Evelina,Frey
1452,Loredana,Stark,4692,Lisa,Vos
1452,Loredana,Stark,3285,Taneli,Toivonen
4960,Pieter,Willems,1807,Maceo,Remy
2217,Alex,Villa,3253,Ilkka,Hayha
3045,Kai,Martell,1541,Corentin,Greyjoy
2981,Lidia,Frey,3873,Tuva,Baratheon
4978,Chris van der,Heijden,0931,Liana,Krupa
4978,Chris van der,Heijden,4730,Dirk,Scholten
1564,Elisa,Andre,0941,Bibiana,Simek
2191,Giuseppe,Greyjoy,1407,Petrica,Petrescu
3090,Ismo,Jarvinen,3482,Kim,Yrjola
0684,Milos,Stark,1932,Diego,Renault
0684,Milos,Stark,4595,Barbara van,Dijk
0684,Milos,Stark,1504,Marine,Chevalier
0684,Milos,Stark,4217,Kevin,Laas
3072,Marjut,Lahteenmaki,4393,Raido,Tyrell
3072,Marjut,Lahteenmaki,3696,August,Stark
4436,Jaak,Kalda,0581,Jolana,Janko
2580,Rozalia,Mazurek,1331,Gentiana,Mihaita
3920,Klara,Tyrell,2805,Eliza,Wojcik
4392,Eliise,Karu,0417,Martha,Lang
2989,Leszek,Lannister,0733,Bonifac,Koza
1436,Eduard,Motoc,4279,Nikita,Smirnov
2088,Alberto,Gatti,0900,Alzbeta,Husar
0425,Dieter,Klein,2183,Silvia,Lannister
3777,Ella,Stark,3118,Juha,Tyrell
3777,Ella,Stark,4696,Lieke,Kok
2413,Alberto,Sala,2779,Gustaw,Kolodziej
2413,Alberto,Sala,2932,Stefan,Wojcik
2861,Artur,Kolodziej,0105,Alexander,Krause
2250,Manuel,Palmieri,2698,Sylwia,Koziol
3096,Juha,Virtanen,0961,Mikulas,Bartovic
4511,Anna van,Veen,1441,Maximilian,Fratila
2467,Camilla,Ricci,1455,Francisc,Caranfil
2580,Rozalia,Mazurek,3874,Wilma,Bergstrand
3266,Verneri,Korhonen,0800,Ruzena,Greyjoy
3933,Johan,Bergman,0942,Oto,Vlk
4208,Mirtel,Tyrell,0001,Mathilda,Bauer
4208,Mirtel,Tyrell,1178,Iasmina,Popescu
4208,Mirtel,Tyrell,3568,Andreas,Bergstrand
4208,Mirtel,Tyrell,2101,Nicola,Greyjoy
3662,Hampus,Bagge,2581,Karol,Lannister
1877,Pauline,Faure,2341,Andrea,Baratheon
1852,Marion,Clement,1069,Pompiliu,Honcescu
3413,Tapio,Hamalainen,0719,Regina,Masny
3223,Marja,Hamalainen,2784,Janusz,Martell
1960,Martin,Lannister,4543,Gerrit de,Martell
3342,Tuomas,Hamalainen,3378,Outi,Vatanen
1496,Florenta,Nicoara,0849,Romana,Simon
1496,Florenta,Nicoara,3347,Elias,Jokinen
3539,Stina,Hallgren,0501,Aurel,Baska
1236,Mona,Stanculescu,0308,Erik,Baratheon
1819,Esteban,Nicolas,4407,Marten,Lohmus
1819,Esteban,Nicolas,1371,Mirabela,Almas
2842,Kaja,Sikora,0548,Ludomil,Risko
2842,Kaja,Sikora,4567,Willemijn,Kuipers
4433,Sander,Kallas,4902,Eelco,Kramer
4142,Arina,Aleksandrov,3519,Vera,Wahlgren
1381,Laurentiu,Lannister,4157,Marta,Mihhailov
2492,Christian,Targaryen,1241,Martin,Huidu
2492,Christian,Targaryen,2222,Antonio,Conti
2492,Christian,Targaryen,2243,Camilla,Martino
2492,Christian,Targaryen,0009,Leila,Lannister
2492,Christian,Targaryen,0187,Johann,Schmitt
2492,Christian,Targaryen,3202,Ismo,Vaananen
2492,Christian,Targaryen,4055,Aleksander,Teder
2492,Christian,Targaryen,1581,Thibault,Moulin
3773,Anton,Hallgren,1896,Sarah,Fournier
2964,Witold,Bolton,4063,Markus,Lohmus
3567,Wilma,Frey,1205,Anca,Stark
0059,Joel,Heinrich,4682,Daan,Kuijpers
3485,Tarja,Heikkinen,4823,Jaap,Frey
